Time,Chatroom(Desired),Chatroom(Opened),Message Input,Unique Code(Searched),Chatroom(Found),Status,Reason(FAIL)
2025-07-16 09:09:22,test 9,test 9,"MI2 NND(A) #03 FOIL LOT_ID: 15e4da9aa7 has NG Rate of 13.17% at 2025-07-16 09:09:13. Total defect count is 94. Surface defect count: 5, Dimension defect count: 89. Please Check!!",dcaa0906,test 9,SUCCESS,
2025-07-16 09:09:32,test 5,test 5,"MI2 NND(C) #05 FOIL LOT_ID: d4807539e1 has NG Rate of 12.45% at 2025-07-16 09:09:24. Total defect count is 174. Surface defect count: 85, Dimension defect count: 89. Please Check!!",db5fceb1,test 5,SUCCESS,
2025-07-16 09:09:42,NND alert test 1,NND alert test 1,"MI2 NND(C) #03 FOIL LOT_ID: 498055aa70 has NG Rate of 7.39% at 2025-07-16 09:09:34. Total defect count is 102. Surface defect count: 67, Dimension defect count: 35. Please Check!!",8c3d09cf,NND alert test 1,SUCCESS,
2025-07-16 09:09:52,test 10,test 10,"MI2 NND(C) #04 INTEGRATION LOT_ID: 223392fe27 has NG Rate of 7.23% at 2025-07-16 09:09:44. Total defect count is 81. Surface defect count: 42, Dimension defect count: 39. Please Check!!",2a1b008f,test 10,SUCCESS,
2025-07-16 09:10:02,test 4,test 4,"MI2 NND(A) #03 INTEGRATION LOT_ID: fec38fb357 has NG Rate of 13.72% at 2025-07-16 09:09:54. Total defect count is 81. Surface defect count: 13, Dimension defect count: 68. Please Check!!",4d83d696,test 4,SUCCESS,
2025-07-16 09:10:12,test 9,test 9,"MI2 NND(C) #04 FOIL LOT_ID: f5b1416a7f has NG Rate of 1.22% at 2025-07-16 09:10:04. Total defect count is 55. Surface defect count: 51, Dimension defect count: 4. Please Check!!",8cefd522,test 9,SUCCESS,
2025-07-16 09:10:23,test 5,test 5,"MI2 NND(A) #02 FOIL LOT_ID: 58c95f4103 has NG Rate of 4.02% at 2025-07-16 09:10:14. Total defect count is 92. Surface defect count: 21, Dimension defect count: 71. Please Check!!",78c50c2f,test 5,SUCCESS,
2025-07-16 09:10:33,NND alert test 3,NND alert test 3,"MI2 NND(C) #02 NGMARKING LOT_ID: 5fbd4a2046 has NG Rate of 1.32% at 2025-07-16 09:10:25. Total defect count is 38. Surface defect count: 28, Dimension defect count: 10. Please Check!!",3f1178ea,NND alert test 3,SUCCESS,
2025-07-16 09:10:43,NND alert test 1,NND alert test 1,"MI2 NND(C) #03 NGMARKING LOT_ID: a7a934535e has NG Rate of 2.17% at 2025-07-16 09:10:35. Total defect count is 9. Surface defect count: 9, Dimension defect count: 0. Please Check!!",95d67f42,NND alert test 1,SUCCESS,
2025-07-16 09:10:53,김지희 (Jihee Kim),김지희 (Jihee Kim),"MI2 NND(A) #02 INTEGRATION LOT_ID: 700d0b693f has NG Rate of 5.23% at 2025-07-16 09:10:45. Total defect count is 80. Surface defect count: 57, Dimension defect count: 23. Please Check!!",8cb6d267,김지희 (Jihee Kim),SUCCESS,
